"GEO_ID","NAME","B05005_001E","B05005_001M","B05005_001MA","B05005_001EA","B05005_002E","B05005_002EA","B05005_002M","B05005_002MA","B05005_003E","B05005_003M","B05005_003MA","B05005_003EA","B05005_004E","B05005_004EA","B05005_004M","B05005_004MA","B05005_005E","B05005_005EA","B05005_005M","B05005_005MA","B05005_006E","B05005_006EA","B05005_006M","B05005_006MA","B05005_007E","B05005_007EA","B05005_007M","B05005_007MA","B05005_008E","B05005_008EA","B05005_008M","B05005_008MA","B05005_009E","B05005_009M","B05005_009MA","B05005_009EA","B05005_010E","B05005_010EA","B05005_010M","B05005_010MA","B05005_011E","B05005_011EA","B05005_011M","B05005_011MA","B05005_012E","B05005_012M","B05005_012MA","B05005_012EA","B05005_013E","B05005_013EA","B05005_013M","B05005_013MA","B05005_014E","B05005_014M","B05005_014MA","B05005_014EA","B05005_015E","B05005_015EA","B05005_015M","B05005_015MA","B05005_016E","B05005_016M","B05005_016MA","B05005_016EA","B05005_017E","B05005_017M","B05005_017MA","B05005_017EA","B05005_018E","B05005_018M","B05005_018MA","B05005_018EA","B05005_019E","B05005_019EA","B05005_019M","B05005_019MA","B05005_020E","B05005_020M","B05005_020MA","B05005_020EA","B05005_021E","B05005_021EA","B05005_021M","B05005_021MA","POPGROUP","POPGROUP_TTL",
"0500000US37067","Forsyth County, North Carolina","1239","279","null","null","361","null","151","null","0","127","null","null","361","null","151","null","102","null","78","null","259","null","139","null","566","null","232","null","22","null","37","null","544","231","null","null","289","null","160","null","255","null","155","null","226","162","null","null","0","null","127","null","226","162","null","null","226","null","162","null","0","127","null","null","86","61","null","null","17","27","null","null","69","null","57","null","56","51","null","null","13","null","20","null","016","Chinese alone (410-419)",
"0500000US37081","Guilford County, North Carolina","1428","506","null","null","614","null","286","null","0","127","null","null","614","null","286","null","66","null","61","null","548","null","274","null","312","null","135","null","0","null","127","null","312","135","null","null","172","null","94","null","140","null","82","null","164","107","null","null","0","null","127","null","164","107","null","null","66","null","61","null","98","92","null","null","338","295","null","null","0","127","null","null","338","null","295","null","338","295","null","null","0","null","127","null","016","Chinese alone (410-419)",
"0500000US37119","Mecklenburg County, North Carolina","4066","781","null","null","1776","null","521","null","19","24","null","null","1757","null","524","null","367","null","227","null","1390","null","436","null","1055","null","314","null","14","null","22","null","1041","309","null","null","607","null","231","null","434","null","193","null","637","184","null","null","30","null","45","null","607","179","null","null","493","null","152","null","114","76","null","null","598","230","null","null","12","18","null","null","586","null","228","null","586","228","null","null","0","null","127","null","016","Chinese alone (410-419)",
"0500000US37135","Orange County, North Carolina","1988","316","null","null","844","null","256","null","0","127","null","null","844","null","256","null","118","null","66","null","726","null","240","null","744","null","207","null","0","null","127","null","744","207","null","null","514","null","187","null","230","null","109","null","199","103","null","null","5","null","9","null","194","104","null","null","180","null","104","null","14","24","null","null","201","102","null","null","0","127","null","null","201","null","102","null","201","102","null","null","0","null","127","null","016","Chinese alone (410-419)",
"0500000US37183","Wake County, North Carolina","6336","723","null","null","2496","null","521","null","35","41","null","null","2461","null","517","null","244","null","132","null","2217","null","468","null","2101","null","389","null","0","null","127","null","2101","389","null","null","949","null","240","null","1152","null","303","null","946","184","null","null","0","null","127","null","946","184","null","null","918","null","183","null","28","23","null","null","793","187","null","null","25","43","null","null","768","null","187","null","768","187","null","null","0","null","127","null","016","Chinese alone (410-419)",
"0500000US38017","Cass County, North Dakota","658","231","null","null","524","null","240","null","0","93","null","null","524","null","240","null","76","null","77","null","448","null","201","null","59","null","52","null","0","null","93","null","59","52","null","null","24","null","23","null","35","null","34","null","64","80","null","null","0","null","93","null","64","80","null","null","3","null","7","null","61","80","null","null","11","25","null","null","0","93","null","null","11","null","25","null","11","25","null","null","0","null","93","null","016","Chinese alone (410-419)",
"0500000US39017","Butler County, Ohio","1580","446","null","null","600","null","246","null","0","119","null","null","600","null","246","null","70","null","52","null","530","null","236","null","577","null","281","null","20","null","33","null","557","273","null","null","357","null","266","null","200","null","111","null","224","130","null","null","0","null","119","null","224","130","null","null","215","null","128","null","9","14","null","null","179","106","null","null","0","119","null","null","179","null","106","null","179","106","null","null","0","null","119","null","016","Chinese alone (410-419)",
"0500000US39035","Cuyahoga County, Ohio","6650","693","null","null","2895","null","539","null","44","44","null","null","2851","null","549","null","381","null","143","null","2470","null","515","null","1872","null","319","null","15","null","24","null","1857","317","null","null","914","null","208","null","943","null","247","null","1039","205","null","null","0","null","119","null","1039","205","null","null","874","null","180","null","165","78","null","null","844","226","null","null","9","14","null","null","835","null","224","null","772","217","null","null","63","null","69","null","016","Chinese alone (410-419)",
"0500000US39041","Delaware County, Ohio","957","230","null","null","173","null","110","null","0","119","null","null","173","null","110","null","59","null","42","null","114","null","89","null","483","null","153","null","0","null","119","null","483","153","null","null","215","null","102","null","268","null","119","null","232","116","null","null","0","null","119","null","232","116","null","null","230","null","116","null","2","3","null","null","69","64","null","null","0","119","null","null","69","null","64","null","60","54","null","null","9","null","16","null","016","Chinese alone (410-419)",
"0500000US39049","Franklin County, Ohio","7551","693","null","null","3848","null","601","null","2","9","null","null","3846","null","603","null","473","null","173","null","3373","null","595","null","1770","null","334","null","40","null","36","null","1730","329","null","null","871","null","243","null","859","null","205","null","1134","260","null","null","0","null","119","null","1134","260","null","null","1053","null","256","null","81","51","null","null","799","199","null","null","0","119","null","null","799","null","199","null","762","189","null","null","37","null","39","null","016","Chinese alone (410-419)",
"0500000US39057","Greene County, Ohio","596","169","null","null","164","null","85","null","12","18","null","null","152","null","88","null","20","null","24","null","132","null","81","null","260","null","125","null","0","null","119","null","260","125","null","null","96","null","72","null","164","null","85","null","91","50","null","null","15","null","25","null","76","46","null","null","76","null","46","null","0","119","null","null","81","56","null","null","0","119","null","null","81","null","56","null","81","56","null","null","0","null","119","null","016","Chinese alone (410-419)",
"0500000US39061","Hamilton County, Ohio","2333","371","null","null","1081","null","294","null","14","16","null","null","1067","null","295","null","125","null","62","null","942","null","299","null","466","null","153","null","14","null","21","null","452","156","null","null","253","null","120","null","199","null","93","null","403","131","null","null","0","null","119","null","403","131","null","null","385","null","132","null","18","28","null","null","383","139","null","null","0","119","null","null","383","null","139","null","383","139","null","null","0","null","119","null","016","Chinese alone (410-419)",
