"GEO_ID","NAME","B05005_001E","B05005_001M","B05005_001MA","B05005_001EA","B05005_002E","B05005_002EA","B05005_002M","B05005_002MA","B05005_003E","B05005_003M","B05005_003MA","B05005_003EA","B05005_004E","B05005_004EA","B05005_004M","B05005_004MA","B05005_005E","B05005_005EA","B05005_005M","B05005_005MA","B05005_006E","B05005_006EA","B05005_006M","B05005_006MA","B05005_007E","B05005_007M","B05005_007MA","B05005_007EA","B05005_008E","B05005_008M","B05005_008MA","B05005_008EA","B05005_009E","B05005_009M","B05005_009MA","B05005_009EA","B05005_010E","B05005_010EA","B05005_010M","B05005_010MA","B05005_011E","B05005_011EA","B05005_011M","B05005_011MA","B05005_012E","B05005_012EA","B05005_012M","B05005_012MA","B05005_013E","B05005_013M","B05005_013MA","B05005_013EA","B05005_014E","B05005_014M","B05005_014MA","B05005_014EA","B05005_015E","B05005_015EA","B05005_015M","B05005_015MA","B05005_016E","B05005_016EA","B05005_016M","B05005_016MA","B05005_017E","B05005_017EA","B05005_017M","B05005_017MA","B05005_018E","B05005_018M","B05005_018MA","B05005_018EA","B05005_019E","B05005_019M","B05005_019MA","B05005_019EA","B05005_020E","B05005_020M","B05005_020MA","B05005_020EA","B05005_021E","B05005_021EA","B05005_021M","B05005_021MA","POPGROUP","POPGROUP_LABEL",
"0500000US06111","Ventura County, California","7502","688","null","null","829","null","251","null","5","8","null","null","824","null","252","null","0","null","28","null","824","null","252","null","1619","392","null","null","31","24","null","null","1588","387","null","null","368","null","141","null","1220","null","331","null","1559","null","296","null","33","53","null","null","1526","290","null","null","1159","null","271","null","367","null","148","null","3495","null","334","null","47","33","null","null","3448","334","null","null","3245","339","null","null","203","null","97","null","016","Chinese alone (410-419)",
"0500000US06113","Yolo County, California","5576","626","null","null","1574","null","308","null","0","28","null","null","1574","null","308","null","0","null","28","null","1574","null","308","null","1813","464","null","null","6","10","null","null","1807","465","null","null","639","null","207","null","1168","null","340","null","1141","null","277","null","119","105","null","null","1022","266","null","null","797","null","249","null","225","null","98","null","1048","null","273","null","41","56","null","null","1007","274","null","null","913","218","null","null","94","null","90","null","016","Chinese alone (410-419)",
"0500000US08001","Adams County, Colorado","1626","549","null","null","201","null","118","null","0","27","null","null","201","null","118","null","43","null","55","null","158","null","118","null","578","254","null","null","4","7","null","null","574","255","null","null","223","null","106","null","351","null","195","null","420","null","210","null","19","31","null","null","401","208","null","null","377","null","198","null","24","null","34","null","427","null","242","null","21","31","null","null","406","240","null","null","406","240","null","null","0","null","27","null","016","Chinese alone (410-419)",
"0500000US08005","Arapahoe County, Colorado","3518","551","null","null","240","null","124","null","0","27","null","null","240","null","124","null","0","null","27","null","240","null","124","null","1176","396","null","null","17","24","null","null","1159","391","null","null","355","null","142","null","804","null","342","null","991","null","281","null","15","25","null","null","976","277","null","null","874","null","259","null","102","null","67","null","1111","null","228","null","6","10","null","null","1105","229","null","null","1003","208","null","null","102","null","83","null","016","Chinese alone (410-419)",
"0500000US08013","Boulder County, Colorado","3075","416","null","null","657","null","186","null","21","20","null","null","636","null","182","null","10","null","17","null","626","null","183","null","1120","237","null","null","26","25","null","null","1094","238","null","null","435","null","171","null","659","null","181","null","772","null","167","null","52","65","null","null","720","171","null","null","500","null","133","null","220","null","101","null","526","null","143","null","23","32","null","null","503","135","null","null","474","136","null","null","29","null","38","null","016","Chinese alone (410-419)",
"0500000US08031","Denver County, Colorado","3783","555","null","null","1091","null","321","null","39","42","null","null","1052","null","314","null","28","null","25","null","1024","null","311","null","1413","352","null","null","80","68","null","null","1333","342","null","null","419","null","179","null","914","null","249","null","530","null","165","null","14","26","null","null","516","163","null","null","390","null","143","null","126","null","80","null","749","null","240","null","0","27","null","null","749","240","null","null","691","229","null","null","58","null","69","null","016","Chinese alone (410-419)",
"0500000US08035","Douglas County, Colorado","1813","286","null","null","150","null","82","null","0","27","null","null","150","null","82","null","0","null","27","null","150","null","82","null","982","240","null","null","57","56","null","null","925","245","null","null","474","null","128","null","451","null","198","null","435","null","149","null","26","27","null","null","409","143","null","null","330","null","110","null","79","null","63","null","246","null","98","null","0","27","null","null","246","98","null","null","234","95","null","null","12","null","19","null","016","Chinese alone (410-419)",
"0500000US08041","El Paso County, Colorado","1996","404","null","null","423","null","164","null","43","58","null","null","380","null","159","null","48","null","75","null","332","null","148","null","657","202","null","null","12","19","null","null","645","201","null","null","421","null","156","null","224","null","115","null","420","null","144","null","9","14","null","null","411","144","null","null","346","null","138","null","65","null","42","null","496","null","182","null","27","27","null","null","469","183","null","null","430","182","null","null","39","null","57","null","016","Chinese alone (410-419)",
"0500000US08059","Jefferson County, Colorado","2346","461","null","null","343","null","164","null","0","27","null","null","343","null","164","null","5","null","11","null","338","null","163","null","1008","342","null","null","25","37","null","null","983","341","null","null","525","null","161","null","458","null","276","null","497","null","142","null","46","47","null","null","451","143","null","null","431","null","140","null","20","null","27","null","498","null","142","null","6","11","null","null","492","141","null","null","474","141","null","null","18","null","23","null","016","Chinese alone (410-419)",
"0500000US08069","Larimer County, Colorado","1507","349","null","null","462","null","222","null","0","27","null","null","462","null","222","null","23","null","28","null","439","null","210","null","498","169","null","null","25","32","null","null","473","159","null","null","245","null","123","null","228","null","101","null","298","null","115","null","10","20","null","null","288","114","null","null","223","null","94","null","65","null","58","null","249","null","124","null","23","35","null","null","226","113","null","null","226","113","null","null","0","null","27","null","016","Chinese alone (410-419)",
"0500000US09001","Fairfield County, Connecticut","8120","914","null","null","1338","null","339","null","4","8","null","null","1334","null","338","null","33","null","29","null","1301","null","335","null","2668","486","null","null","68","67","null","null","2600","465","null","null","697","null","189","null","1903","null","444","null","1793","null","308","null","15","26","null","null","1778","303","null","null","1274","null","233","null","504","null","167","null","2321","null","305","null","27","31","null","null","2294","293","null","null","2121","286","null","null","173","null","94","null","016","Chinese alone (410-419)",
